"Word","Length","Log_Freq_HAL","predicted_gaze_duration_default"
"affluent",8,6.474,260.715738927381
"afford",6,9.833,231.029126339544
"afforded",8,6.733,259.002318442351
"affording",9,4.949,275.873063980082
"affords",7,5.979,259.393478211075
"affricate",9,1.609,300.356855361219
"affront",7,5.829,260.385926200477
"affronted",9,3.611,285.432033300559
"affronting",10,1.386,307.456878626029
"Afghan",6,7.242,246.782165445408
"Afghanistan",11,7.479,267.97784728944
"Afghans",7,5.613,261.821725859797
"aficionado",10,5.03,280.217225873173
"afield",6,5.69,256.728004510004
"afire",5,5.094,256.083584925673
"aflame",6,4.394,265.339734836007
"afloat",6,6.028,254.528369043701
"afoot",5,6.075,249.767225390681
"aforementioned",14,7.997,278.878469950026
"aforesaid",9,5.198,274.129809423766
"aforethought",12,4.127,297.057770338245
"afoul",5,5.338,254.497774229821
"afraid",6,10.056,229.721247988387
"Africa",6,9.749,231.523708474883
"African",7,9.348,238.07301270577
"Africans",8,7.356,254.926825485738
"afro",4,5.68,247.868658484781
"aft",3,6.839,236.442855717674
"after",5,12.934,209.748981080918
"afterbirth",10,4.043,287.34752378222
"aftercare",9,4.71,277.556734307349
"aftereffect",11,3.584,295.912577959661
"afterglow",9,5.193,274.164705923145
"afterlife",9,6.592,264.571887092066
"aftermath",9,6.951,262.164848842857
"afternoon",9,9.262,247.185623024805
"afternoons",10,6.709,268.491905327598
"afternoon's",11,4.443,289.51162715904
"aftershave",10,3.85,288.762861554678
"aftertaste",10,4.97,280.645582772462
"afterthought",12,6.023,283.059707731267
"afterward",9,7.503,258.506429288694
"afterwards",10,8.919,253.802932636339
"again",5,12.428,212.468415516329
"against",7,12.059,222.196067996835
"Agamemnon",9,5.136,274.562840136122
"Agamemnon's",11,2.773,302.085677812702
"agape",5,5.497,253.469686012253
"agar",4,6.69,241.576503022536
"Agatha",6,5.438,258.380329935967
"age",3,11.11,212.082323289755
"aged",4,8.142,232.809582544852
"ageless",7,5.176,264.750818628229
"agencies",8,9.511,241.317644184811
"agency",6,10.038,229.826541385235
"agenda",6,9.193,234.824176347423
"agent",5,10.002,226.004514458557
"agents",6,9.601,232.397692645332
"agent's",7,6.791,254.086321826276
"ages",4,9.762,223.403279953561
"Aggie",5,6.254,248.631620471363
"Aggies",6,5.71,256.597321046718
"agglomerate",11,2.485,304.308699325981
"agglomeration",13,4.127,302.358382404517
"agglutinating",13,3.219,309.429125744309
"agglutination",13,1.609,322.375429470957
"aggrandize",10,3.296,292.864385647673
"aggravate",9,5.771,270.159950784669
"aggravated",10,6.676,268.717565820761
"aggravates",10,3.951,288.021325217419
"aggravation",11,5.866,279.211181617808
"aggregate",9,7.143,260.886519774452
"aggregation",11,5.756,279.994181482528
"aggregations",12,4.344,295.421219347926
"aggression",10,8.01,259.744804472972
"aggressions",11,4.522,288.929946797097
"aggressive",10,8.838,254.326843577187
"aggressively",12,7.162,274.969710963049
"aggressiveness",14,5.916,294.051417410656
"aggressor",9,6.452,265.516543466247
"aggrieve",8,0,307.429925334142
"aggrieved",9,5.063,275.073575808125
"aghast",6,5.375,258.795070270217
"agile",5,6.447,247.412981336171
"agilely",7,1.609,289.918117659075
"agility",7,7.113,252.011951681612
"aging",5,7.992,237.870399901004
"agitate",7,5.198,264.602578312387
"agitated",8,6.26,262.140009640818
"agitating",9,4.804,276.893315115923
"agitation",9,6.692,263.899190933553
"agitator",8,5.366,268.174635519096
